id,name,blood_status,hair_color,eye_color,patronus,wand,occupation,loyalty,house
104,Abraham Grimblehawk,Half-blood,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff', 'Ministry of MagicDepartment for the Regulation and Control of Magical CreaturesBeast Division', 'Department for the Regulation and Control of Magical CreaturesBeast Division', 'Beast Division', ""St Oswald's Home for Old Witches and Wizards""]",Hufflepuffs
105,Justin Finch-Fletchley,Muggle-born,None,None,Non-corporeal,"Unknown length, wood and core",None,"['Finch-Fletchley family', 'Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff', ""Dumbledore's Army""]",Hufflepuffs
106,Grim Marshall Fawley,Pure-blood (most likely),None,None,None,None,"['Department of Magical Law Enforcement employee (formerly)', 'Unspeakable']","['British Ministry of MagicDepartment of Magical Law Enforcement (formerly)Department of Mysteries', 'Department of Magical Law Enforcement (formerly)', 'Department of Mysteries', 'The Unforgivable (possibly)', 'Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff', 'Fawley family']",Hufflepuffs
107,Eustace Fawley,Pure-blood or Half-blood (most likely),Brown,Grey,None,"Unknown length, wood and core",None,"['Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff', 'Fawley family']",Hufflepuffs
108,Annabel Entwhistle,Muggle-born (possibly),None,None,None,None,None,Entwhistle family,Hufflepuffs
109,Craig Dunn,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff']",Hufflepuffs
110,Cedric Diggory,Pure-blood (possibly) or Half-blood,Dark,Grey,None,"12¼"", Ash, Unicorn hair",None,"['Diggory family', 'Hogwarts School of Witchcraft and WizardryHufflepuffHufflepuff Quidditch team', 'Hufflepuff', 'Hufflepuff Quidditch team', 'Circle of Khanna', 'Death Eaters (alternate timeline)']",Hufflepuffs
111,Diego Caplan,"Pure-blood, Half-blood or Muggle-born",Dark Brown,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardryHufflepuffDragon Club', 'Hufflepuff', 'Dragon Club', 'Circle of Khanna']",Hufflepuffs
112,Susan Bones,Half-blood,None,None,None,"Unknown length, wood and core",None,"['Bones family', 'Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff', ""Dumbledore's Army""]",Hufflepuffs
113,Patrick Bagby,None,Blond,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff']",Hufflepuffs
114,Arthur,None,Black,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff']",Hufflepuffs
115,Unidentified boy who attended Charm School's father,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff']",Hufflepuffs
116,Albert,None,Blond,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff']",Hufflepuffs
117,Hannah Abbott,Half-blood,Blonde,None,Non-corporeal,None,"['Landlady of the Leaky Cauldron (c.1998-2014)', 'Healer (2014-?)']","['Abbott family', 'Longbottom family', 'Hogwarts School of Witchcraft and WizardryHufflepuff', 'Hufflepuff', ""Dumbledore's Army"", 'Leaky Cauldron (2014-?)']",Hufflepuffs
118,Tulip Karasu,Half-blood or Pure-blood,Red,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawDragon Club', 'Ravenclaw', 'Dragon Club', 'Circle of Khanna']",Ravenclaws
119,Ashok Khanna,None,None,None,None,None,None,"['Khanna family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
120,Marcus Hitchin,None,None,None,None,None,None,"['Hitchin family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
121,Talbott Winger,Pure-blood or Half-blood,Brown,Brown,None,None,None,"['Winger family', 'Hogwarts School of Witchcraft and WizardryRavenclawSphinx ClubHippogriff Club', 'Ravenclaw', 'Sphinx Club', 'Hippogriff Club', 'Circle of Khanna']",Ravenclaws
122,Myrtle Elizabeth Warren,Muggle-born,None,None,None,None,None,"['Warren family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw', 'Harry Potter', 'Draco Malfoy', 'Albus Potter', 'Scorpius Malfoy']",Ravenclaws
123,Unidentified student,Pure-blood or Half-blood,Black,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw', ""Dumbledore's Army""]",Ravenclaws
124,Unidentified Ravenclaw Girl,None,Black,None,None,"Unknown length, wood and core",None,"[""Hogwarts School of Witchcraft and WizardryRavenclawDumbledore's Army"", 'Ravenclaw', ""Dumbledore's Army""]",Ravenclaws
125,Marcus Turner,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
126,Sybill Patricia Trelawney,Half-blood,None,None,Non-corporeal,"Hazel and unicorn hair, 9½ inches, very flexible","['Professor of Divination at Hogwarts School (1981 - 1996, 1997 - ?)', 'Head of the Divination Workshop at Hogwarts School (possibly)', 'Author']","['Hogwarts School of Witchcraft and WizardryRavenclawSlug Club (possibly)', 'Ravenclaw', 'Slug Club (possibly)', 'Order of the Phoenix (during the Battle of Hogwarts)', ""Dumbledore's Army (during the Battle of Hogwarts)"", 'Divination Workshop (possibly)', 'Trelawney family']",Ravenclaws
127,Jeremy Stretton,None,Brown,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawRavenclaw Quidditch team', 'Ravenclaw', 'Ravenclaw Quidditch team', 'Stretton family']",Ravenclaws
128,Maisy Reynolds,Pure-blood or Half-blood,Brown,None,None,None,None,"[""Hogwarts School of Witchcraft and WizardryRavenclawDumbledore's Army"", 'Ravenclaw', ""Dumbledore's Army""]",Ravenclaws
129,Rowena Ravenclaw,Pure-blood or Half-blood,None,Brown,Non-corporeal,None,"['Founder of Hogwarts School of Witchcraft and Wizardry', 'Professor at Hogwarts School of Witchcraft and Wizardry']","['Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw', 'Ravenclaw family']",Ravenclaws
130,Helena Ravenclaw,Pure-blood or Half-blood,None,None,None,None,Ravenclaw House Ghost,"['Ravenclaw family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
131,Padma Patil,Half-blood or Pure-blood,"Dark, long",Dark,Non-corporeal,None,None,"['Patil family', ""Dumbledore's Army"", 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
132,Grant Page,None,Red,Hazel,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawRavenclaw Quidditch team', 'Ravenclaw', 'Ravenclaw Quidditch team']",Ravenclaws
133,Garrick Ollivander,Half-blood,None,Silvery,Non-corporeal,"Hornbeam, 12¾"", dragon heartstring",Wandmaker,"['Ollivander family', 'Ollivanders', 'Harry Potter', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
134,Phillip Montgomery,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
135,Isobel MacDougal,Pure-blood,None,None,None,None,None,"['MacDougal family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
136,Xenophilius Lovegood,Pure-blood or half-blood,White,None,Non-corporeal,"Unknown length, wood and core",Editor of The Quibbler,"['Lovegood family', 'The Quibbler', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw', 'Order of the Phoenix', 'Harry Potter']",Ravenclaws
137,Luna Scamander (née Lovegood),Pure-blood or Half-blood,Dirty-blonde,Pale silvery,Hare,"['Unknown 1st wand', 'Unknown 2nd wand']",Magizoologist,"['Lovegood family', 'Scamander family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw', ""Dumbledore's Army"", 'Order of the Phoenix', 'The Quibbler']",Ravenclaws
138,Gilderoy Lockhart,Half-blood,Blond,Blue,Non-corporeal,"9"", Cherry, dragon heartstring","['Author', 'Professor of Defence Against the Dark Arts at Hogwarts (1992-1993)']","['Lockhart family', 'Hogwarts School of Witchcraft and Wizardry (formerly)RavenclawRavenclaw Quidditch team', 'Ravenclaw', 'Ravenclaw Quidditch team', 'Dark Force Defence League (formerly)', ""St Mungo's Hospital for Magical Maladies and Injuries"", 'Order of Merlin']",Ravenclaws
139,Susanna Hesleden,None,None,None,None,None,None,None,Ravenclaws
140,Anthony Goldstein,Half-blood,None,None,Non-corporeal,None,None,"['Goldstein family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw', ""Dumbledore's Army""]",Ravenclaws
141,Filius Flitwick,Part-Goblin,None,None,Non-corporeal,"Unknown length, wood and core","['Charms Master at Hogwarts (pre 1975-?)', 'Head of Ravenclaw House at Hogwarts (pre 1984-?)', 'Conductor of the Frog Choir at Hogwarts (pre 1987-?)']","['Hogwarts School of Witchcraft and WizardryRavenclawFrog Choir', 'Ravenclaw', 'Frog Choir', 'Flitwick family', 'Order of the Phoenix (during the Battle of the Astronomy Tower and the Battle of Hogwarts)', ""Dumbledore's Army (during the Battle of the Astronomy Tower and the Battle of Hogwarts)""]",Ravenclaws
142,Marcus Fenwick,None,None,None,None,None,None,"['Fenwick family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
143,Marietta Edgecombe,Pure-blood or Half-blood,Reddish-blonde,None,Non-corporeal,"Unknown length, wood and core",None,"['Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw', ""Dumbledore's Army (betrayed)"", 'British Ministry of Magic', 'Edgecombe family']",Ravenclaws
144,Helen Dawlish,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawDuelling Club', 'Ravenclaw', 'Duelling Club', 'Dawlish family']",Ravenclaws
145,Roger Davies,None,None,None,None,None,None,"['Davies family', 'Hogwarts School of Witchcraft and WizardryRavenclawRavenclaw Quidditch team', 'Ravenclaw', 'Ravenclaw Quidditch team']",Ravenclaws
146,Andre Egwu,"Pure-blood, half-blood or Muggle-born",Black,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawRavenclaw Quidditch teamDragon Club', 'Ravenclaw', 'Ravenclaw Quidditch team', 'Dragon Club', 'Pride of Portree', 'Circle of Khanna']",Ravenclaws
147,Chester Davies,None,Brown,Brown,None,None,Employee in the Improper Use of Magic Office,"['Hogwarts School of Witchcraft and WizardryRavenclawFrog Choir', 'Ravenclaw', 'Frog Choir', 'Davies family', 'British Ministry of MagicImproper Use of Magic Office', 'Improper Use of Magic Office']",Ravenclaws
148,Michael Corner,Half-blood,Dark,None,Non-corporeal,None,None,"['Corner family', 'Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw', ""Dumbledore's Army""]",Ravenclaws
149,Cho Chang,Pure-blood or Half-blood,Black,Dark,Swan,"Unknown length, wood and core",None,"['Chang family', ""Dumbledore's Army"", 'Hogwarts School of Witchcraft and WizardryRavenclawRavenclaw Quidditch team', 'Ravenclaw', 'Ravenclaw Quidditch team']",Ravenclaws
150,Hortense Cooper,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
151,Boy who kept a bezoar in his pocket,None,Brown,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
152,Terry Boot,Half-blood or Pure-blood,None,None,None,None,None,"['Boot family', 'Hogwarts School of Witchcraft and WizardryRavenclawDuelling Club', 'Ravenclaw', 'Duelling Club', ""Dumbledore's Army""]",Ravenclaws
153,Marcus Belby,Half-blood or Pure-blood,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawSlug Club', 'Ravenclaw', 'Slug Club', 'Belby family']",Ravenclaws
154,Trevor Birch,None,Blond,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawDuelling Club', 'Ravenclaw', 'Duelling Club', 'Gilderoy Lockhart']",Ravenclaws
155,Pamela Alton,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawDuelling Club', 'Ravenclaw', 'Duelling Club']",Ravenclaws
156,Badeea Ali,Muggle-born or Half-blood,None,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclawSphinx Club', 'Ravenclaw', 'Sphinx Club', 'Circle of Khanna']",Ravenclaws
157,Dennis Aldermaston,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryRavenclaw', 'Ravenclaw']",Ravenclaws
158,Simon Dedworth,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Dedworth family']",Slytherins
159,Irving Cram,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Cram family']",Slytherins
160,Winky Crockett,None,None,None,None,None,Maker of Elbow Grease,"['Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team']",Slytherins
161,Vincent Crabbe,Pure-blood,None,None,None,"Unknown length, wood and core",None,"[""Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch teamInquisitorial SquadDraco Malfoy's gang"", 'Slytherin', 'Slytherin Quidditch team', 'Inquisitorial Squad', ""Draco Malfoy's gang"", 'Crabbe family', 'Lord VoldemortDeath Eaters (unofficially)', 'Death Eaters (unofficially)']",Slytherins
162,Alex Sykes,None,None,None,None,None,None,"['Sykes family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
163,Imogen Stretton,None,None,None,None,None,None,Stretton family,Slytherins
164,Merula Snyde's mother,Pure-blood or Half-blood,None,None,None,None,None,"['Snyde family', 'Hogwarts School of Witchcraft and WizardrySlytherinFrog ChoirSlytherin Quidditch team', 'Slytherin', 'Frog Choir', 'Slytherin Quidditch team', 'Death EatersLord Voldemort', 'Lord Voldemort']",Slytherins
165,Merula Snyde's father,Pure-blood or Half-blood,None,None,None,None,None,"['Snyde family', 'Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team', 'Death EatersLord Voldemort', 'Lord Voldemort']",Slytherins
166,Merula Snyde,Pure-blood or Half-blood,Brown,Violet,Non-corporeal,"Unknown length, wood and core",None,"['Snyde family', 'Hogwarts School of Witchcraft and WizardrySlytherinHer gangTulip Karasu (formerly)Frog Choir (possibly)Sphinx Club', 'Slytherin', 'Her gang', 'Tulip Karasu (formerly)', 'Frog Choir (possibly)', 'Sphinx Club', 'Circle of Khanna', 'R']",Slytherins
167,Andrew Snowy Owl,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team', 'Snowy Owl family']",Slytherins
168,Salazar Slytherin,Pure-blood,Grey,Grey,Non-corporeal,"Unknown length, snakewood, Basilisk horn","['Teacher at Hogwarts School of Witchcraft and Wizardry', 'Founder of Hogwarts School of Witchcraft and Wizardry']","['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Slytherin family']",Slytherins
169,Andromeda Tonks (née Black),Pure-blood,Light brown,None,None,None,None,"['House of Black (formerly)', 'Rosier family (formerly)', 'Tonks family', 'Order of the Phoenix (indirectly)', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
170,Horace Eugene Flaccus Slughorn,Pure-blood or Half-blood,"['Bald', 'Straw blond (formerly)']",Gooseberry,Non-corporeal,"10¼"", Cedar, dragon heartstring, fairly flexible","['Potions Master at Hogwarts School of Witchcraft and Wizardry (1931-1981; 1996-between 2008 and 2012(most likely) )', 'Head of Slytherin House at Hogwarts School of Witchcraft and Wizardry (?-1981; 1997- Pre 2016)', 'Owner of the Apothecarium of Horace E. F. Slughorn (?)']","['Slughorn family', 'Hogwarts School of Witchcraft and WizardrySlug ClubSlytherin', 'Slug Club', 'Slytherin', 'Order of the Phoenix (during the Battle of Hogwarts)', ""Dumbledore's Army (during the Battle of Hogwarts)"", 'Apothecarium of Horace E. F. Slughorn']",Slytherins
171,Blaise Zabini,Pure-blood or Half-blood,Black,None,None,"Unknown length, wood and core",None,"['Zabini family', ""Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch teamSlug ClubDraco Malfoy's gang (formerly)"", 'Slytherin', 'Slytherin Quidditch team', 'Slug Club', ""Draco Malfoy's gang (formerly)""]",Slytherins
172,Ella Wilkins,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Wilkins family']",Slytherins
173,Cassius Warrington,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch teamInquisitorial Squad', 'Slytherin', 'Slytherin Quidditch team', 'Inquisitorial Squad']",Slytherins
174,Emma Vanity,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team']",Slytherins
175,Severus Snape,Half-blood,Black,Black,Doe,"Unknown length, wood and core","['Potions Master at Hogwarts (1981-1996)', 'Head of Slytherin House (1981-1997)', 'Professor of Defence Against the Dark Arts at Hogwarts (1996-1997)', 'Headmaster of Hogwarts (1997-1998)']","['Snape family', 'Prince family', 'Lily Potter', 'Harry Potter', 'Albus Dumbledore', 'Order of the Phoenix', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Lord Voldemort (formerly)Death Eaters (defected)', 'Death Eaters (defected)']",Slytherins
176,Liz Tuttle,Half-blood or Pure-blood,Dark brown,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinHippogriff Club', 'Slytherin', 'Hippogriff Club', 'Circle of Khanna']",Slytherins
177,Dolores Jane Umbridge,Half-blood,"['Mouse brown (formerly)', 'Iron grey']",None,Persian cat,"['8"", Birch, dragon heartstring (formerly)', 'Unknown length, wood and core']","['Head of the Improper Use of Magic Office (formerly)', 'Senior Undersecretary to the Minister for Magic (before 1995-1998)', 'Professor of Defence Against the Dark Arts at Hogwarts (1995-1996)', 'High Inquisitor of Hogwarts (1995-1996)', 'Headmistress of Hogwarts (1996)', 'Head of the Muggle-Born Registration Commission (1997-1998)']","['British Ministry of Magic (formerly)Department of Magical Law Enforcement (formerly)Improper Use of Magic Office (formerly)Muggle-Born Registration Commission (formerly)Wizengamot (formerly)', 'Department of Magical Law Enforcement (formerly)Improper Use of Magic Office (formerly)', 'Improper Use of Magic Office (formerly)', 'Muggle-Born Registration Commission (formerly)', 'Wizengamot (formerly)', 'Hogwarts School of Witchcraft and Wizardry (formerly)SlytherinInquisitorial Squad (formerly)', 'Slytherin', 'Inquisitorial Squad (formerly)', 'Death Eaters (indirectly)', 'Lord Voldemort (indirectly)']",Slytherins
178,Felix Rosier,Pure-blood or Half-blood,Brown,Brown,None,None,Dragonologist,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Rosier family']",Slytherins
179,Evan Rosier,Pure-blood or Half-blood,None,None,None,None,None,"['Rosier family', 'Death Eaters', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
180,Gordon Pummell,None,None,None,None,None,None,"['Hogwarts', 'Slytherin']",Slytherins
181,Tom Marvolo Riddle,Half-blood,Bald (formerly black),Scarlet (formerly dark brown),None,"['13½"", Yew, phoenix feather core', 'Elm, dragon heartstring (temporary)', 'Elder, 15"", Thestral tail hair core (Never Mastered, Temporary)']",Shop assistant at Borgin and Burkes (formerly),"['Death Eaters', 'Hogwarts School of Witchcraft and Wizardry (formerly)SlytherinSlug Club', 'Slytherin', 'Slug Club', 'British Ministry of Magic (only under his control)', 'Borgin and Burkes']",Slytherins
182,Albus Severus Potter,Half-blood,Jet-black,Bright green,None,"Unknown length, wood and core",None,"['Potter family', 'Weasley family', 'Hogwarts School of Witchcraft and WizardrySlytherinGryffindor (Alternate timeline)', 'Slytherin', 'Gryffindor (Alternate timeline)']",Slytherins
183,Pansy Parkinson,Pure-blood or Half-blood,None,None,None,"Unknown length, wood and core",None,"['Parkinson family', ""Hogwarts School of Witchcraft and WizardrySlytherinInquisitorial SquadDraco Malfoy's gang"", 'Slytherin', 'Inquisitorial Squad', ""Draco Malfoy's gang"", 'Death Eaters (unofficial)']",Slytherins
184,Theodore Nott,Pure-blood,None,None,None,None,None,"['Nott family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Death Eaters (indirectly)']",Slytherins
185,Nerys Orpington,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Orpington family']",Slytherins
186,Nigel's nephew,Pure-blood (most likely),Black,Green,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
187,Ismelda Murk,None,Dark,Green,None,None,None,"[""Hogwarts School of Witchcraft and WizardrySlytherinMerula Snyde's gangSphinx Club"", 'Slytherin', ""Merula Snyde's gang"", 'Sphinx Club', 'Murk family', 'Death Eaters (unofficially)Lord Voldemort (unofficially)', 'Lord Voldemort (unofficially)', 'Circle of Khanna']",Slytherins
188,Mulciber II,Pure-blood or Half-blood,None,None,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Hogwarts School of Witchcraft and Wizardry (formerly)Slytherin', 'Slytherin']",Slytherins
189,Graham Montague,None,Brown,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch teamInquisitorial Squad', 'SlytherinSlytherin Quidditch team', 'Slytherin Quidditch team', 'Inquisitorial Squad', 'Montague family']",Slytherins
190,Merlin,None,White,Blue,None,"Unconfirmed length and core, English oak (?) wood",Advisor to King Arthur and his court,"['Order of Merlin', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Court of King Arthur']",Slytherins
191,Scorpius Hyperion Malfoy,Pure-blood,White-blond,Grey,None,"Unknown length, wood and core",None,"['Malfoy family', 'Greengrass family', 'House of Black', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
192,Lucius Malfoy,Pure-blood,White-blond,Grey,None,"['Elm and dragon heartstring (formerly)', ""Lucius Malfoy's second wand""]","['School Governor of Hogwarts School of Witchcraft and Wizardry (?-1993)', 'British Ministry of Magic official (?-1996)']","['Malfoy family', 'House of Black', 'British Ministry of Magic (formerly)', 'Hogwarts School of Witchcraft and Wizardry (formerly)Slug ClubSlytherin', 'Slug Club', 'Slytherin', 'Lord Voldemort (formerly)Death Eaters (defected)', 'Death Eaters (defected)']",Slytherins
193,Abraxas Malfoy,Pure-blood,None,None,None,None,None,"['Malfoy family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
194,Narcissa Malfoy (née Black),Pure-blood,Blonde,Blue,None,"['Unknown 1st wand', 'Unknown 2nd wand']",None,"['House of Black', 'Malfoy family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Death Eaters (indirectly, formerly)']",Slytherins
195,Mafalda,Muggle-born or Half-blood (possibly),None,None,None,None,None,"['Prewett family', 'Weasley family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
196,Draco Lucius Malfoy,Pure-blood,Silver-blonde,Grey,None,"['10"", Hawthorn, unicorn hair (formerly)', 'Unknown length, wood and core (temporarily)', '15"", Elder, Thestral tail hair (never used)']",None,"['Malfoy family', 'House of Black', 'Greengrass family', ""Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch teamInquisitorial Squad (formerly)Draco Malfoy's gang (formerly)"", 'Slytherin', 'Slytherin Quidditch team', 'Inquisitorial Squad (formerly)', ""Draco Malfoy's gang (formerly)"", 'Death Eaters (formerly)', 'Lord Voldemort (formerly)', 'British Ministry of Magic']",Slytherins
197,Rodolphus Lestrange,Pure-blood,Dark,Dark,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Lestrange family', 'House of Black', 'Hogwarts School of Witchcraft and Wizardry (formerly)Slytherin', 'Slytherin']",Slytherins
198,Lestrange,Pure-blood,Black,None,None,None,None,"[""Hogwarts School of Witchcraft and WizardrySlytherinTom Riddle's gangSlug Club"", 'Slytherin', ""Tom Riddle's gang"", 'Slug Club', 'Lestrange family']",Slytherins
199,Leta Lestrange,Pure-blood,Brown,Brown,None,"Unknown length, wood and core","['Employee of the Department of Magical Law Enforcement', 'Assistant to Torquil Travers']","['Lestrange family', 'Scamander family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'British Ministry of MagicDepartment of Magical Law Enforcement', 'Department of Magical Law Enforcement']",Slytherins
200,Barnaby Abernathy Lee,Pure-blood or half-blood,Brown,Green,None,"Unknown length, wood and core",None,"[""Hogwarts School of Witchcraft and WizardrySlytherinMerula Snyde's gang (formerly)Hippogriff Club"", 'Slytherin', ""Merula Snyde's gang (formerly)"", 'Hippogriff Club', 'Lee family', 'Circle of Khanna']",Slytherins
201,Bellatrix Lestrange (née Black),Pure-blood,Black,None,None,"['12¾"", Walnut, dragon heartstring', 'Unknown 2nd wand']",None,"['House of Black', 'Lestrange family', 'Malfoy family', 'Hogwarts School of Witchcraft and Wizardry (formerly)Slytherin', 'Slytherin', 'Lord VoldemortDeath Eaters', 'Death Eaters']",Slytherins
202,Jo King,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team', 'King family']",Slytherins
203,Terence Higgs,None,None,None,None,None,None,"['Higgs family', 'Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team']",Slytherins
204,Daphne Greengrass,Pure-blood,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Greengrass family']",Slytherins
205,Gregory Goyle,Pure-blood,None,None,None,"Unknown length, wood and core",None,"['Goyle family', ""Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch teamInquisitorial SquadDraco Malfoy's gang (formerly)"", 'Slytherin', 'Slytherin Quidditch team', 'Inquisitorial Squad', ""Draco Malfoy's gang (formerly)"", 'Lord Voldemort', 'Death Eaters (unofficially)']",Slytherins
206,Gormlaith Gaunt,Pure-blood,Dark,Dark,None,"['Unknown length, snakewood, basilisk horn', 'Unknown length, unknown wood, dragon heartstring']",None,"['Gaunt family', 'Slytherin family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
207,Corvinus Gaunt,Pure-blood,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'House of Gaunt', 'Slytherin family']",Slytherins
208,Fisher Frey,None,Brown,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Frey family']",Slytherins
209,Colby Frey,None,Brown,Brown,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Frey family']",Slytherins
210,Marcus Flint,Pure-blood or half-blood (possibly),None,None,None,None,None,"['Flint family', 'Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team']",Slytherins
211,Penelope Fawley (née Padgett),Pure-blood or Half-blood,None,None,None,"Willow, 12½ inches, dragon heartstring",Auror,"['British Ministry of MagicDepartment of Magical Law EnforcementAuror Office', 'Department of Magical Law Enforcement', 'Auror Office', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Padgett family', 'Fawley family']",Slytherins
212,Gemma Farley,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Farley family']",Slytherins
