src,relation,dst
230,Male paternal cousins,697
230,Female paternal cousin,698
230,husband,384
230,Son †,699
230,possible son,386
230,possible daughter-in-law,700
230,possible grandson,701
230,Two daughters †,702
230,Nephew,365
230,Niece,703
230,Nephews,704
230,possible nephew,352
230,nephew,24
230,House of Black,312
230,Crouch family,705
231,paternal grandfather,228
231,paternal grandmother,456
231,father,459
231,mother,460
231,brother,463
231,sister-in-law,464
231,sister,234
231,brother,677
231,paternal uncle,457
231,paternal aunt by marriage,458
231,paternal first cousin,461
231,paternal first cousin,681
231,paternal first cousin,680
231,paternal uncle,693
231,paternal aunt,694
231,paternal uncle by marriage,672
231,Two male first cousins,706
231,Female first cousin,707
231,paternal uncle,382
231,paternal aunt by marriage,383
231,paternal first cousin,388
231,paternal first cousin,325
231,paternal first cousin,385
231,husband,331
231,Son,547
231,possible father-in-law,330
231,possible brother-in-law,7
231,possible sister-in-law,322
231,niece,225
231,nephew,235
231,nephew,466
231,possible nephew,8
231,House of Black,312
231,Potter family,323
232,father,463
232,mother,464
232,sister,225
232,brother,235
232,wife,467
232,daughter,468
232,daughter,429
232,daughter,469
232,son-in-law,197
232,son-in-law,603
232,granddaughter,427
232,son-in-law,192
232,grandson,472
232,granddaughter,470
232,second cousin/brother-in-law,227
232,nephew,605
232,nephew,606
232,paternal grandfather,459
232,paternal grandmother,460
232,cousin,708
232,great-grandson,604
232,great-grandson,473
232,Black family,369
232,in-laws,616
233,paternal grandfather,228
233,paternal grandmother,456
233,father,382
233,mother,383
233,sister,388
233,brother-in-law,387
233,sister,385
233,brother-in-law,384
233,paternal uncle,457
233,paternal aunt by marriage,458
233,paternal first cousin,461
233,paternal first cousin,681
233,paternal first cousin,680
233,paternal uncle,693
233,paternal uncle,459
233,paternal aunt by marriage,460
233,paternal first cousin,463
233,paternal first cousin,234
233,paternal first cousin,677
233,paternal first cousin,332
233,paternal aunt,694
233,paternal uncle by marriage,672
233,Male paternal cousins,697
233,Female paternal cousin,698
233,husband,324
233,Two older sons,709
233,possible son,352
233,son,24
233,daughter-in-law,285
233,possible grandson,710
233,grandson,308
233,grandson,20
233,grandson,292
233,grandson,18
233,grandson,17
233,grandson,309
233,granddaughter,286
233,Nephew,365
233,Niece,703
233,Nephew †,711
233,possible nephew,386
233,Two nieces †,712
234,paternal grandfather,228
234,paternal grandmother,456
234,father,459
234,mother,460
234,brother,463
234,sister-in-law,464
234,brother,677
234,sister,332
234,brother-in-law,331
234,paternal uncle,457
234,paternal aunt by marriage,458
234,paternal first cousin,461
234,paternal first cousin,681
234,paternal first cousin,680
234,paternal uncle,693
234,paternal aunt,694
234,paternal uncle by marriage,672
234,paternal first cousins,713
234,paternal first cousin,714
234,paternal uncle,382
234,paternal aunt by marriage,383
234,paternal first cousin,388
234,paternal first cousin,325
234,paternal first cousin,385
234,niece,225
234,nephew,235
234,nephew,466
234,nephew,334
234,House of Black,312
235,paternal grandfather,459
235,paternal grandmother,460
235,father,463
235,mother,464
235,sister,225
235,brother-in-law/second cousin,227
235,brother,466
235,sister-in-law,467
235,paternal aunt,234
235,paternal uncle,677
235,paternal aunt,332
235,uncle by marriage,331
235,paternal cousin,334
235,nephew,605
235,nephew,606
235,niece,468
235,niece,429
235,niece,469
235,House of Black,312
236,paternal grandfather,228
236,paternal grandmother,456
236,father,382
236,mother,383
236,sister,325
236,brother-in-law,324
236,sister,385
236,brother-in-law,384
236,paternal uncle,457
236,paternal aunt by marriage,458
236,paternal first cousin,461
236,paternal first cousin,681
236,paternal first cousin,680
236,paternal uncle,693
236,paternal uncle,459
236,paternal aunt by marriage,460
236,paternal first cousin,463
236,paternal first cousin,234
236,paternal first cousin,677
236,paternal first cousin,332
236,paternal aunt,694
236,paternal uncle by marriage,672
236,Male paternal cousins,697
236,Female paternal cousin,698
236,husband,387
236,Son,547
236,Daughter,715
236,possibly,421
236,possibly,423
236,possibly,419
236,possibly,48
236,Two nephews,716
236,possible nephew,352
236,nephew,24
236,Nephew †,711
236,possible nephew,386
236,Two nieces †,712
236,House of Black,312
236,Longbottom family,531
237,possibly,237
238,possibly,237
240,brother,216
240,likely,215
240,likely,214
241,ancestor,642
241,ancestor,643
241,ancestor,644
241,relative,199
241,brother,249
241,wife,645
241,stepdaughter,470
241,sister-in-law,429
241,brother-in-law,603
241,sister-in-law,469
241,brother-in-law,192
241,niece,427
241,nephew,472
241,father-in-law,466
241,mother-in-law,467
241,Lestrange family,646
242,paternal/maternal great-great-grandfather,228
242,father/second cousin once removed,227
242,mother/second cousin once removed,225
242,brother/third cousin,605
242,paternal grandfather,461
242,paternal grandmother,462
242,maternal grandfather,463
242,maternal grandmother,464
242,maternal first cousin,468
242,maternal first cousin,429
242,maternal first cousin,469
242,maternal uncle,235
242,maternal uncle,232
242,maternal aunt,467
242,paternal aunt,679
242,paternal uncle by marriage,347
242,House of Black,312
243,possibly,717
248,possibly,718
249,ancestor,642
249,ancestor,643
249,ancestor,644
249,possible father,719
249,brother,197
249,sister-in-law,468
250,father,619
250,mother,620
250,daughter,470
250,paternal grandfather,621
250,paternal grandmother,622
250,maternal grandfather,600
250,maternal uncle,601
250,ancestor,207
250,distant relative,206
250,ancestor,168
250,ancestor,623
250,distant cousin,287
251,possibly,627
251,wife,626
251,son,184
252,mother,398
252,possible relative,399
253,Sister,503
253,husband,592
253,daughter,166
254,Wife,546
254,Sister-in-law,593
254,daughter,166
255,Mother or mother-in-law,720
255,Husband,721
255,son,722
255,brother-in-law,653
256,Mother or mother-in-law,720
256,brother,653
256,Wife,546
256,son,722
259,paternal ancestor,636
259,paternal ancestor,637
259,paternal ancestor,638
259,paternal ancestor,639
259,paternal ancestor,640
259,father,193
259,wife,469
259,son,472
259,daughter-in-law,632
259,grandson,473
259,father-in-law,466
259,mother-in-law,467
259,sister-in-law,468
259,brother-in-law,197
259,sister-in-law,429
259,brother-in-law,430
259,niece,470
259,niece,471
259,great-nephew,428
259,Malfoy family,633
259,in-laws,312
261,possible son,261
262,possible father,261
263,wife,657
263,son,205
266,possible relative,617
266,possible father,618
266,possible aunt,467
266,possible uncle by marriage,466
266,possible first cousin,468
266,possible first cousin,429
266,possible first cousin,469
266,possible first cousin,429
266,possible relative,178
266,Rosier family,616
267,mother,613
268,possibly,383
269,Great-grandfather †,723
269,possible grandfather,384
269,possible grandmother,385
269,father,386
269,mother,700
269,Possible aunts †,724
269,Crouch family,705
269,House of Black,312
270,son,161
270,possibly,725
271,father,466
271,mother,467
271,sister,429
271,sister,469
271,daughter,470
271,husband,197
271,paternal grandfather,463
271,paternal grandmother,464
271,paternal uncle,227
271,paternal aunt,225
271,paternal first cousin,605
271,paternal first cousin,606
271,paternal uncle,235
271,brother-in-law,603
271,niece,427
271,nephew-in-law,487
271,great-nephew,604
271,brother-in-law,192
271,nephew,472
271,niece-in-law,632
271,great-nephew,473
271,maternal family,616
271,distant relatives,340
271,brother-in-law,249
271,in-laws,646
271,paternal relatives,312
272,paternal ancestor,636
272,paternal ancestor,637
272,paternal ancestor,638
272,paternal ancestor,640
272,paternal ancestor,639
272,paternal grandfather,193
272,maternal grandfather,466
272,maternal grandmother,467
272,father,486
272,mother,469
272,maternal aunt,468
272,maternal uncle by marriage,197
272,maternal first cousin,470
272,maternal aunt,429
272,maternal uncle by marriage,430
272,maternal first cousin,471
272,wife,632
272,son,473
272,sister-in-law,204
272,Malfoy family,633
272,maternal family,312
272,in-laws,634
275,sister,217
275,possibly,215
275,possibly,214
276,possibly,237
